NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
CRUZEIRO DO SUL;AC;;;21;3;;B;11;A;B;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;18;2;1;B;3;A;A;;;;;;;
RIO BRANCO;AC;;;21;1;;C;3;A;A;18;3;0;5;5;5;
RIO BRANCO;AC;;;21;1;;C;2;A;A;;;;;;;
RODRIGUES ALVES;AC;;;16;3;;B;7;A;A;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;17;2;1;D;4;A;A;;;;;;;
CRUZEIRO DO SUL;AC;;;18;1;;B;7;A;A;;;;;;;
SENADOR GUIOMARD;AC;SENADOR GUIOMARD;AC;27;2;1;A;4;A;E;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;33;2;1;C;3;D;A;14;5;0;5;4;5;
MARECHAL THAUMATURGO;AC;;;20;1;;B;8;A;A;;;;;;;
RIO BRANCO;AC;;;26;1;;C;5;B;A;17;0;5;5;5;5;
PORTO WALTER;AC;;;25;1;;B;9;A;A;20;5;5;5;5;5;
RIO BRANCO;AC;;;20;1;;B;4;A;A;17;5;5;5;5;5;
RIO BRANCO;AC;;;37;1;;F;4;A;A;19;0;5;5;1;0;
MANOEL URBANO;AC;MANOEL URBANO;AC;23;2;1;E;2;A;C;17;5;1;5;3;4;
MANCIO LIMA;AC;;;20;4;;A;4;A;B;19;5;5;4;5;5;
RIO BRANCO;AC;;;28;3;;B;3;E;A;;;;;;;
PORTO ACRE;AC;;;26;1;;B;5;A;B;16;5;0;5;5;5;
EPITACIOLANDIA;AC;;;22;1;;B;5;A;A;18;1;1;1;1;1;
FEIJO;AC;;;17;3;;B;5;A;A;;;;;;;
RIO BRANCO;AC;;;18;1;;C;5;A;A;17;5;1;5;5;4;
RIO BRANCO;AC;;;18;3;;C;5;A;A;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;17;2;1;B;3;A;A;;;;;;;
SENA MADUREIRA;AC;;;20;1;;E;4;A;A;19;2;0;4;5;4;
RIO BRANCO;AC;;;22;1;;D;4;A;A;18;3;0;5;5;2;
RIO BRANCO;AC;;;33;1;;C;3;D;A;13;5;5;4;0;0;
RIO BRANCO;AC;;;19;1;;B;4;A;A;18;4;0;5;5;5;
CRUZEIRO DO SUL;AC;;;23;1;;H;2;B;A;19;4;0;5;5;4;
RIO BRANCO;AC;;;46;1;;D;8;A;E;13;0;5;5;5;5;
RIO BRANCO;AC;;;43;1;;B;6;A;A;;;;;;;
RIO BRANCO;AC;;;40;1;;G;5;A;A;18;5;5;5;5;5;
RIO BRANCO;AC;;;21;1;;B;4;B;B;;;;;;;
RIO BRANCO;AC;;;47;1;;B;8;E;E;13;0;5;5;5;5;
SENADOR GUIOMARD;AC;;;34;1;;K;5;A;A;18;0;4;4;5;4;
RIO BRANCO;AC;;;21;1;;B;3;A;A;18;5;3;3;4;4;
MARECHAL THAUMATURGO;AC;;;27;1;;B;4;B;A;23;2;5;5;5;0;
RIO BRANCO;AC;;;17;4;;B;4;A;B;;;;;;;
RIO BRANCO;AC;;;21;1;;C;3;A;A;18;2;1;2;5;5;
RIO BRANCO;AC;;;24;1;;B;2;A;D;16;3;5;5;5;5;
RIO BRANCO;AC;;;25;1;;A;5;A;D;;;;;;;
RIO BRANCO;AC;;;19;1;;D;5;A;A;15;5;0;5;0;5;
RIO BRANCO;AC;;;36;1;;E;2;A;A;19;5;5;5;5;5;
RIO BRANCO;AC;;;17;3;;B;6;A;A;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;17;2;2;J;2;A;A;;;;;;;
CRUZEIRO DO SUL;AC;;;21;1;;C;7;A;A;20;5;5;5;5;5;
RIO BRANCO;AC;;;17;3;;A;9;A;A;;;;;;;
RIO BRANCO;AC;;;23;1;;G;5;A;A;18;5;3;5;5;5;
MANOEL URBANO;AC;MANOEL URBANO;AC;19;2;1;B;4;A;A;16;5;0;5;5;0;
RIO BRANCO;AC;;;40;1;;C;2;A;A;21;5;5;5;5;5;
RIO BRANCO;AC;;;24;1;;E;4;A;A;18;1;1;1;1;1;
RIO BRANCO;AC;;;20;1;;B;7;A;A;;;;;;;
PLACIDO DE CASTRO;AC;;;38;1;;B;5;A;A;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;25;1;;B;7;A;B;16;5;2;3;5;3;
CRUZEIRO DO SUL;AC;;;22;1;;C;4;A;A;;;;;;;
RIO BRANCO;AC;;;20;1;;D;6;A;A;16;5;0;5;5;5;
PLACIDO DE CASTRO;AC;;;22;1;;C;4;A;A;18;4;5;5;3;5;
FEIJO;AC;;;20;1;;F;5;A;A;;;;;;;
RIO BRANCO;AC;;;22;1;;G;4;C;A;16;2;0;5;5;3;
SENA MADUREIRA;AC;;;20;1;;A;5;A;A;;;;;;;
PORTO ACRE;AC;PORTO ACRE;AC;17;2;1;A;3;A;A;;;;;;;
RIO BRANCO;AC;;;20;1;;D;5;A;A;;;;;;;
RIO BRANCO;AC;;;22;1;;B;3;A;A;17;4;4;5;5;5;
RIO BRANCO;AC;;;21;1;;B;3;A;A;19;5;5;5;3;5;
RIO BRANCO;AC;RIO BRANCO;AC;16;2;1;I;4;A;A;;;;;;;
RIO BRANCO;AC;;;19;1;;B;4;A;A;;;;;;;
RIO BRANCO;AC;;;18;4;;B;3;A;C;;;;;;;
SENA MADUREIRA;AC;SENA MADUREIRA;AC;19;2;1;G;5;B;A;16;4;5;5;4;5;
RIO BRANCO;AC;;;39;1;;B;2;B;A;17;5;0;5;3;5;
RIO BRANCO;AC;;;16;3;;I;3;A;A;;;;;;;
MARECHAL THAUMATURGO;AC;;;22;1;;B;7;A;A;;;;;;;
BUJARI;AC;;;33;1;;B;6;B;A;16;5;5;5;4;5;
PLACIDO DE CASTRO;AC;;;24;1;;C;5;A;B;14;5;5;5;5;5;
CRUZEIRO DO SUL;AC;;;35;1;;A;2;A;A;19;3;5;5;5;2;
RIO BRANCO;AC;;;16;4;;D;7;A;A;;;;;;;
RIO BRANCO;AC;;;32;4;;B;6;C;E;25;5;5;5;5;5;
RIO BRANCO;AC;RIO BRANCO;AC;18;2;1;E;6;A;A;;;;;;;
RIO BRANCO;AC;;;29;1;;B;2;A;A;18;4;0;5;5;5;
RIO BRANCO;AC;;;32;1;;G;1;A;A;22;5;0;5;3;5;
MARECHAL THAUMATURGO;AC;;;24;1;;B;3;A;A;;;;;;;
TARAUACA;AC;;;20;1;;D;4;A;A;19;0;0;5;5;0;
RIO BRANCO;AC;;;24;1;;D;3;A;A;16;5;0;4;4;0;
RIO BRANCO;AC;;;33;1;;C;4;A;E;;;;;;;
RIO BRANCO;AC;;;17;3;;C;3;B;A;;;;;;;
RIO BRANCO;AC;;;20;1;;D;2;A;A;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;17;2;1;D;5;A;A;;;;;;;
CRUZEIRO DO SUL;AC;;;20;1;;B;2;A;A;18;3;0;4;5;3;
CRUZEIRO DO SUL;AC;;;21;1;;B;2;A;A;16;5;5;5;5;5;
RIO BRANCO;AC;;;23;4;;C;5;A;E;;;;;;;
RIO BRANCO;AC;RIO BRANCO;AC;18;2;1;B;3;A;A;;;;;;;
RIO BRANCO;AC;;;26;1;;C;5;A;A;22;4;4;5;5;5;
