NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
SANTANA;AP;SANTANA;AP;18;2;1;B;8;A;A;13;5;5;5;5;5;
MACAPA;AP;;;23;1;;B;4;A;A;21;5;3;5;5;5;
MACAPA;AP;MACAPA;AP;19;2;2;E;8;A;A;;;;;;;
MACAPA;AP;MACAPA;AP;17;2;1;C;5;A;A;;;;;;;
MACAPA;AP;;;20;1;;E;6;A;A;17;5;5;5;5;5;
SANTANA;AP;;;23;1;;C;5;A;A;;;;;;;
MACAPA;AP;;;43;1;;C;5;A;A;18;5;5;5;5;5;
MACAPA;AP;;;35;1;;D;6;A;B;20;5;5;5;5;5;
MACAPA;AP;;;24;1;;C;8;A;C;16;4;4;5;5;5;
MACAPA;AP;;;29;1;;B;10;B;B;18;5;5;5;5;5;
MACAPA;AP;;;18;1;;C;4;A;A;16;5;0;4;5;5;
MACAPA;AP;;;24;1;;D;6;A;B;19;5;2;2;4;4;
MACAPA;AP;;;19;3;;B;5;A;B;;;;;;;
MACAPA;AP;;;28;1;;B;6;A;B;;;;;;;
MAZAGAO;AP;MAZAGAO;AP;18;2;1;C;7;A;A;;;;;;;
MACAPA;AP;;;47;1;;G;1;A;A;25;4;3;5;5;5;
MACAPA;AP;MACAPA;AP;18;2;1;B;5;A;A;;;;;;;
SANTANA;AP;;;17;3;;I;5;A;A;;;;;;;
MACAPA;AP;;;20;1;;B;7;A;A;;;;;;;
MACAPA;AP;;;15;3;;F;6;A;A;;;;;;;
SANTANA;AP;;;20;3;;B;4;A;A;;;;;;;
SANTANA;AP;;;22;1;;C;5;A;A;18;5;5;5;5;5;
PEDRA BRANCA DO AMAPARI;AP;;;15;3;;D;5;A;A;;;;;;;
MACAPA;AP;MACAPA;AP;25;2;1;D;3;C;A;21;2;5;5;5;5;
MACAPA;AP;;;15;3;;H;9;A;A;;;;;;;
MACAPA;AP;;;27;1;;B;11;A;A;;;;;;;
MACAPA;AP;;;20;1;;C;10;A;A;16;5;5;5;5;5;
SANTANA;AP;SANTANA;AP;54;2;1;B;7;E;A;25;5;5;5;5;5;
MACAPA;AP;;;19;1;;B;5;A;A;;;;;;;
MACAPA;AP;;;25;1;;B;4;A;B;22;5;5;5;5;5;
SANTANA;AP;;;33;1;;D;7;A;A;18;5;5;5;5;5;
MACAPA;AP;MACAPA;AP;22;2;1;B;2;C;A;21;4;4;5;5;5;
MACAPA;AP;MACAPA;AP;18;2;1;M;6;A;A;15;2;5;5;5;5;
MACAPA;AP;;;22;1;;C;4;A;A;17;5;0;5;5;3;
MACAPA;AP;;;28;1;;B;6;A;A;25;5;5;5;5;5;
MACAPA;AP;MACAPA;AP;17;2;1;C;6;A;A;;;;;;;
MACAPA;AP;;;22;1;;B;2;A;E;17;0;5;5;5;5;
LARANJAL DO JARI;AP;LARANJAL DO JARI;AP;23;2;1;F;5;A;A;;;;;;;
MACAPA;AP;;;27;1;;B;6;A;A;18;5;5;5;5;5;
