NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
BOA VISTA;RR;;;18;1;;B;3;A;A;;;;;;;
BOA VISTA;RR;;;20;1;;E;6;A;A;17;5;1;5;5;3;
CANTA;RR;CANTA;RR;17;2;1;C;9;A;A;;;;;;;
BOA VISTA;RR;BOA VISTA;RR;18;2;1;F;5;A;A;;;;;;;
BOA VISTA;RR;;;28;1;;B;5;A;A;17;4;5;3;3;5;
BOA VISTA;RR;;;15;3;;I;4;A;A;;;;;;;
BOA VISTA;RR;;;18;1;;C;7;A;A;18;5;2;5;5;5;
BOA VISTA;RR;;;17;3;;G;3;A;A;;;;;;;
MUCAJAI;RR;;;16;3;;B;5;A;A;;;;;;;
BOA VISTA;RR;;;26;1;;C;11;A;A;18;4;0;3;4;4;
ALTO ALEGRE;RR;;;18;1;;C;4;A;A;;;;;;;
CANTA;RR;CANTA;RR;17;2;1;C;5;A;A;13;5;0;5;4;0;
BOA VISTA;RR;BOA VISTA;RR;19;2;1;B;5;A;B;;;;;;;
BOA VISTA;RR;;;18;1;;B;6;A;A;14;5;4;5;5;5;
BOA VISTA;RR;;;33;1;;B;3;B;C;16;5;5;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;19;2;1;B;8;A;B;;;;;;;
BOA VISTA;RR;BOA VISTA;RR;18;2;1;E;10;A;A;16;5;5;5;5;5;
CANTA;RR;;;24;1;;D;7;B;A;20;5;0;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;17;2;2;O;5;A;A;;;;;;;
BOA VISTA;RR;;;37;1;;B;3;A;C;14;0;4;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;18;2;1;D;4;A;A;17;5;0;5;5;5;
BOA VISTA;RR;;;20;1;;B;5;A;A;19;5;0;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;17;2;2;C;5;A;A;16;5;2;4;5;5;
BOA VISTA;RR;;;23;1;;B;1;A;B;18;1;2;4;5;4;
BOA VISTA;RR;;;43;1;;A;4;A;A;18;4;5;4;5;5;
BOA VISTA;RR;;;25;1;;B;3;A;C;18;5;5;5;5;5;
BOA VISTA;RR;;;35;1;;C;6;A;B;25;1;5;3;5;5;
BOA VISTA;RR;;;33;4;;B;7;D;C;17;5;5;5;5;3;
BOA VISTA;RR;BOA VISTA;RR;18;2;1;B;4;A;A;;;;;;;
RORAINOPOLIS;RR;;;18;1;;B;4;A;A;;;;;;;
BOA VISTA;RR;BOA VISTA;RR;18;2;1;B;5;A;A;;;;;;;
BOA VISTA;RR;;;39;1;;H;3;A;A;20;0;5;5;0;2;
PACARAIMA;RR;;;21;1;;B;9;A;C;19;5;5;2;3;1;
BOA VISTA;RR;;;23;1;;B;2;A;A;;;;;;;
BOA VISTA;RR;BOA VISTA;RR;18;2;1;B;6;A;A;;;;;;;
BOA VISTA;RR;;;25;1;;D;4;A;A;21;5;5;5;5;5;
BOA VISTA;RR;;;25;1;;B;3;A;A;21;0;5;5;5;5;
BOA VISTA;RR;BOA VISTA;RR;19;2;1;B;5;A;A;;;;;;;
BOA VISTA;RR;;;18;1;;B;6;A;A;14;5;5;5;5;5;
