NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
VILHENA;RO;;;19;1;;C;4;A;A;;;;;;;
PORTO VELHO;RO;;;22;1;;C;3;A;B;17;5;0;5;5;5;
PORTO VELHO;RO;;;18;3;;B;4;A;A;17;2;0;1;5;4;
JI-PARANA;RO;;;26;1;;L;6;A;B;14;5;0;5;5;5;
CACOAL;RO;;;23;1;;B;3;A;A;18;5;0;5;5;5;
OURO PRETO DO OESTE;RO;OURO PRETO DO OESTE;RO;22;2;1;B;3;A;C;13;5;0;5;5;5;
CANDEIAS DO JAMARI;RO;;;26;1;;C;6;A;A;16;5;2;3;5;5;
PORTO VELHO;RO;;;20;1;;B;13;A;A;13;3;0;5;3;4;
ESPIGAO D OESTE;RO;;;22;4;;B;4;A;D;21;0;5;5;5;2;
PORTO VELHO;RO;;;23;1;;C;5;A;B;16;5;1;5;5;5;
GUAJARA-MIRIM;RO;;;28;1;;D;3;A;A;13;5;5;5;5;5;
PORTO VELHO;RO;;;19;4;;C;3;B;C;17;5;3;5;5;5;
PIMENTA BUENO;RO;;;20;1;;C;3;A;A;17;4;0;5;5;4;
VILHENA;RO;;;16;3;;E;4;A;A;;;;;;;
CACOAL;RO;;;20;1;;D;4;A;A;;;;;;;
ARIQUEMES;RO;;;23;1;;C;2;A;A;16;5;5;5;4;5;
PORTO VELHO;RO;;;36;1;;G;1;A;A;17;5;5;5;5;5;
JI-PARANA;RO;;;18;1;;F;5;A;A;;;;;;;
PORTO VELHO;RO;;;25;1;;B;3;A;A;22;5;5;5;5;5;
PRESIDENTE MEDICI;RO;;;24;1;;C;5;A;B;18;5;5;5;5;5;
MACHADINHO D OESTE;RO;;;36;4;;B;3;E;A;14;3;5;5;5;5;
JI-PARANA;RO;JI-PARANA;RO;19;2;1;F;4;A;A;;;;;;;
CACOAL;RO;;;59;1;;C;5;A;A;14;5;5;5;5;5;
PORTO VELHO;RO;;;48;1;;C;3;E;A;15;4;1;5;5;3;
