NO_MUNICIPIO_RESIDENCIA;UF_RESIDENCIA;NO_MUNICIPIO_ESC;UF_ESC;IDADE;ST_CONCLUSAO;TP_ESCOLA;Q003;Q004;Q031;Q034;Q040;Q042;Q043;Q044;Q045;Q046;Q076
ALMAS;TO;;;26;1;;A;6;A;A;13;5;0;5;2;5;
FILADELFIA;TO;FILADELFIA;TO;19;2;1;B;6;A;A;19;5;5;5;5;5;
PORTO NACIONAL;TO;;;25;1;;C;6;C;A;13;2;0;3;4;5;
PORTO NACIONAL;TO;;;27;1;;B;3;B;B;;;;;;;
BREJINHO DE NAZARE;TO;;;30;1;;A;4;A;A;;;;;;;
GURUPI;TO;;;30;1;;D;4;A;D;15;1;5;5;5;5;
PORTO NACIONAL;TO;;;27;1;;H;5;A;A;16;5;5;5;5;5;
PORTO NACIONAL;TO;;;19;1;;B;8;A;A;;;;;;;
PALMAS;TO;;;16;3;;B;10;B;A;14;1;0;5;4;4;
ARAGUAINA;TO;;;19;1;;C;3;A;A;;;;;;;
PALMAS;TO;;;27;4;;C;3;A;D;13;5;5;5;5;5;
PALMAS;TO;;;20;1;;J;4;A;A;;;;;;;
PORTO NACIONAL;TO;;;20;1;;C;3;A;A;;;;;;;
ARAGUAINA;TO;ARAGUAINA;TO;20;2;1;A;3;A;B;18;5;5;5;5;5;
ARAGUAINA;TO;;;15;3;;H;4;A;A;;;;;;;
ARAGUAINA;TO;;;38;4;;D;5;E;E;13;0;5;5;5;5;
GOIATINS;TO;GOIATINS;TO;17;2;1;B;3;A;A;16;5;0;5;5;4;
PALMAS;TO;;;15;3;;G;4;A;A;;;;;;;
ARAGUAINA;TO;;;20;1;;C;4;A;A;15;4;3;5;5;5;
ARAGUAINA;TO;;;23;4;;B;3;B;B;13;3;1;4;1;2;
ARAGUAINA;TO;;;27;1;;B;3;A;A;16;1;5;5;3;5;
WANDERLANDIA;TO;;;21;1;;C;5;A;A;17;5;0;5;5;5;
PALMAS;TO;;;16;3;;C;4;A;A;;;;;;;
ARAGUAINA;TO;;;18;1;;C;5;A;A;16;5;5;4;4;5;
PALMAS;TO;;;27;1;;B;1;A;A;18;0;5;5;5;5;
PALMAS;TO;;;19;1;;G;5;A;A;16;5;0;5;5;5;
GURUPI;TO;GURUPI;TO;16;2;1;C;3;A;A;;;;;;;
PALMAS;TO;;;15;4;;C;5;B;C;;;;;;;
PORTO NACIONAL;TO;;;22;1;;B;5;A;A;18;5;5;5;5;5;
AUGUSTINOPOLIS;TO;;;25;1;;B;2;A;A;16;4;4;4;4;4;
MIRANORTE;TO;MIRANORTE;TO;21;2;1;J;2;A;C;17;5;3;5;5;5;
PALMAS;TO;;;19;1;;C;4;A;A;;;;;;;
ARAGUAINA;TO;;;43;1;;A;1;B;A;13;5;5;5;5;5;
PALMAS;TO;;;21;4;;C;4;A;C;17;1;0;1;1;1;
COLINAS DO TOCANTINS;TO;;;14;3;;M;3;A;A;;;;;;;
PEDRO AFONSO;TO;PEDRO AFONSO;TO;18;2;1;C;6;A;A;;;;;;;
PIUM;TO;PIUM;TO;17;2;1;B;2;A;A;14;0;5;5;5;5;
PALMAS;TO;;;18;3;;B;5;A;A;16;5;3;5;5;3;
PORTO NACIONAL;TO;;;18;1;;C;5;A;A;18;5;0;5;5;5;
PALMAS;TO;;;30;1;;C;2;A;E;18;5;0;5;5;5;
PALMAS;TO;;;19;4;;C;5;A;A;14;5;5;5;5;5;
ARAGUAINA;TO;ARAGUAINA;TO;18;2;1;B;2;A;A;16;5;0;4;3;4;
PALMAS;TO;PALMAS;TO;20;2;1;G;6;A;C;16;5;5;5;5;5;
PALMAS;TO;;;24;1;;C;2;A;A;19;5;3;4;4;4;
PALMAS;TO;;;23;1;;B;3;B;A;21;0;5;5;5;5;
PORTO NACIONAL;TO;;;28;1;;B;3;A;A;20;5;2;3;4;4;
PALMAS;TO;;;37;1;;D;2;B;A;16;4;4;4;4;4;
MONTE DO CARMO;TO;;;34;1;;B;4;A;A;18;0;1;1;1;1;
PALMAS;TO;;;37;4;;A;1;E;E;18;4;4;5;5;5;
BABACULANDIA;TO;BABACULANDIA;TO;19;2;1;A;5;A;A;;;;;;;
ARAGUAINA;TO;;;22;1;;B;5;A;A;13;5;5;5;5;5;
PALMAS;TO;;;23;1;;D;4;A;A;20;1;0;5;5;5;
